ZCTA5,STATE,STUSAB,STATE_NAME
601,72,PR,Puerto Rico
602,72,PR,Puerto Rico
603,72,PR,Puerto Rico
606,72,PR,Puerto Rico
610,72,PR,Puerto Rico
612,72,PR,Puerto Rico
616,72,PR,Puerto Rico
617,72,PR,Puerto Rico
622,72,PR,Puerto Rico
623,72,PR,Puerto Rico
624,72,PR,Puerto Rico
627,72,PR,Puerto Rico
631,72,PR,Puerto Rico
637,72,PR,Puerto Rico
638,72,PR,Puerto Rico
641,72,PR,Puerto Rico
646,72,PR,Puerto Rico
647,72,PR,Puerto Rico
650,72,PR,Puerto Rico
652,72,PR,Puerto Rico
653,72,PR,Puerto Rico
656,72,PR,Puerto Rico
659,72,PR,Puerto Rico
660,72,PR,Puerto Rico
662,72,PR,Puerto Rico
664,72,PR,Puerto Rico
667,72,PR,Puerto Rico
669,72,PR,Puerto Rico
670,72,PR,Puerto Rico
674,72,PR,Puerto Rico
676,72,PR,Puerto Rico
677,72,PR,Puerto Rico
678,72,PR,Puerto Rico
680,72,PR,Puerto Rico
682,72,PR,Puerto Rico
683,72,PR,Puerto Rico
685,72,PR,Puerto Rico
687,72,PR,Puerto Rico
688,72,PR,Puerto Rico
690,72,PR,Puerto Rico
692,72,PR,Puerto Rico
693,72,PR,Puerto Rico
694,72,PR,Puerto Rico
698,72,PR,Puerto Rico
703,72,PR,Puerto Rico
704,72,PR,Puerto Rico
705,72,PR,Puerto Rico
707,72,PR,Puerto Rico
714,72,PR,Puerto Rico
715,72,PR,Puerto Rico
716,72,PR,Puerto Rico
717,72,PR,Puerto Rico
718,72,PR,Puerto Rico
719,72,PR,Puerto Rico
720,72,PR,Puerto Rico
723,72,PR,Puerto Rico
725,72,PR,Puerto Rico
727,72,PR,Puerto Rico
728,72,PR,Puerto Rico
729,72,PR,Puerto Rico
730,72,PR,Puerto Rico
731,72,PR,Puerto Rico
735,72,PR,Puerto Rico
736,72,PR,Puerto Rico
738,72,PR,Puerto Rico
739,72,PR,Puerto Rico
740,72,PR,Puerto Rico
741,72,PR,Puerto Rico
745,72,PR,Puerto Rico
751,72,PR,Puerto Rico
754,72,PR,Puerto Rico
757,72,PR,Puerto Rico
765,72,PR,Puerto Rico
766,72,PR,Puerto Rico
767,72,PR,Puerto Rico
769,72,PR,Puerto Rico
771,72,PR,Puerto Rico
772,72,PR,Puerto Rico
773,72,PR,Puerto Rico
775,72,PR,Puerto Rico
777,72,PR,Puerto Rico
778,72,PR,Puerto Rico
780,72,PR,Puerto Rico
782,72,PR,Puerto Rico
783,72,PR,Puerto Rico
784,72,PR,Puerto Rico
786,72,PR,Puerto Rico
791,72,PR,Puerto Rico
794,72,PR,Puerto Rico
795,72,PR,Puerto Rico
901,72,PR,Puerto Rico
906,72,PR,Puerto Rico
907,72,PR,Puerto Rico
909,72,PR,Puerto Rico
911,72,PR,Puerto Rico
912,72,PR,Puerto Rico
913,72,PR,Puerto Rico
915,72,PR,Puerto Rico
917,72,PR,Puerto Rico
918,72,PR,Puerto Rico
920,72,PR,Puerto Rico
921,72,PR,Puerto Rico
923,72,PR,Puerto Rico
924,72,PR,Puerto Rico
925,72,PR,Puerto Rico
926,72,PR,Puerto Rico
927,72,PR,Puerto Rico
934,72,PR,Puerto Rico
936,72,PR,Puerto Rico
949,72,PR,Puerto Rico
950,72,PR,Puerto Rico
951,72,PR,Puerto Rico
952,72,PR,Puerto Rico
953,72,PR,Puerto Rico
956,72,PR,Puerto Rico
957,72,PR,Puerto Rico
959,72,PR,Puerto Rico
960,72,PR,Puerto Rico
961,72,PR,Puerto Rico
962,72,PR,Puerto Rico
965,72,PR,Puerto Rico
966,72,PR,Puerto Rico
968,72,PR,Puerto Rico
969,72,PR,Puerto Rico
971,72,PR,Puerto Rico
976,72,PR,Puerto Rico
979,72,PR,Puerto Rico
982,72,PR,Puerto Rico
983,72,PR,Puerto Rico
985,72,PR,Puerto Rico
987,72,PR,Puerto Rico
1001,25,MA,Massachusetts
1002,25,MA,Massachusetts
1003,25,MA,Massachusetts
1005,25,MA,Massachusetts
1007,25,MA,Massachusetts
1008,25,MA,Massachusetts
1009,25,MA,Massachusetts
1010,25,MA,Massachusetts
1011,25,MA,Massachusetts
1012,25,MA,Massachusetts
1013,25,MA,Massachusetts
1020,25,MA,Massachusetts
1022,25,MA,Massachusetts
1026,25,MA,Massachusetts
1027,25,MA,Massachusetts
1028,25,MA,Massachusetts
1029,25,MA,Massachusetts
1030,25,MA,Massachusetts
1031,25,MA,Massachusetts
1032,25,MA,Massachusetts
1033,25,MA,Massachusetts
1034,25,MA,Massachusetts
1035,25,MA,Massachusetts
1036,25,MA,Massachusetts
1037,25,MA,Massachusetts
1038,25,MA,Massachusetts
1039,25,MA,Massachusetts
1040,25,MA,Massachusetts
1050,25,MA,Massachusetts
1053,25,MA,Massachusetts
1054,25,MA,Massachusetts
1056,25,MA,Massachusetts
1057,25,MA,Massachusetts
1060,25,MA,Massachusetts
1062,25,MA,Massachusetts
1063,25,MA,Massachusetts
1066,25,MA,Massachusetts
1068,25,MA,Massachusetts
1069,25,MA,Massachusetts
1070,25,MA,Massachusetts
1071,25,MA,Massachusetts
1072,25,MA,Massachusetts
1073,25,MA,Massachusetts
1074,25,MA,Massachusetts
1075,25,MA,Massachusetts
1077,25,MA,Massachusetts
1079,25,MA,Massachusetts
1080,25,MA,Massachusetts
1081,25,MA,Massachusetts
1082,25,MA,Massachusetts
1083,25,MA,Massachusetts
1084,25,MA,Massachusetts
1085,25,MA,Massachusetts
1086,25,MA,Massachusetts
1088,25,MA,Massachusetts
1089,25,MA,Massachusetts
1092,25,MA,Massachusetts
1093,25,MA,Massachusetts
1094,25,MA,Massachusetts
1095,25,MA,Massachusetts
1096,25,MA,Massachusetts
1097,25,MA,Massachusetts
1098,25,MA,Massachusetts
1103,25,MA,Massachusetts
1104,25,MA,Massachusetts
1105,25,MA,Massachusetts
1106,25,MA,Massachusetts
1107,25,MA,Massachusetts
1108,25,MA,Massachusetts
1109,25,MA,Massachusetts
1118,25,MA,Massachusetts
1119,25,MA,Massachusetts
1128,25,MA,Massachusetts
1129,25,MA,Massachusetts
1151,25,MA,Massachusetts
1199,25,MA,Massachusetts
1201,25,MA,Massachusetts
1220,25,MA,Massachusetts
1222,25,MA,Massachusetts
1223,25,MA,Massachusetts
1224,25,MA,Massachusetts
1225,25,MA,Massachusetts
1226,25,MA,Massachusetts
1229,25,MA,Massachusetts
1230,25,MA,Massachusetts
1235,25,MA,Massachusetts
1236,25,MA,Massachusetts
1237,25,MA,Massachusetts
1238,25,MA,Massachusetts
1240,25,MA,Massachusetts
1242,25,MA,Massachusetts
1243,25,MA,Massachusetts
1244,25,MA,Massachusetts
1245,25,MA,Massachusetts
1247,25,MA,Massachusetts
1253,25,MA,Massachusetts
1254,25,MA,Massachusetts
1255,25,MA,Massachusetts
1256,25,MA,Massachusetts
1257,25,MA,Massachusetts
1258,25,MA,Massachusetts
1259,25,MA,Massachusetts
1260,25,MA,Massachusetts
1262,25,MA,Massachusetts
1264,25,MA,Massachusetts
1266,25,MA,Massachusetts
1267,25,MA,Massachusetts
1270,25,MA,Massachusetts
1301,25,MA,Massachusetts
1330,25,MA,Massachusetts
1331,25,MA,Massachusetts
1337,25,MA,Massachusetts
1338,25,MA,Massachusetts
1339,25,MA,Massachusetts
1340,25,MA,Massachusetts
1341,25,MA,Massachusetts
1342,25,MA,Massachusetts
1343,25,MA,Massachusetts
1344,25,MA,Massachusetts
1346,25,MA,Massachusetts
1347,25,MA,Massachusetts
1349,25,MA,Massachusetts
1350,25,MA,Massachusetts
1351,25,MA,Massachusetts
1354,25,MA,Massachusetts
1355,25,MA,Massachusetts
1360,25,MA,Massachusetts
1364,25,MA,Massachusetts
1366,25,MA,Massachusetts
1367,25,MA,Massachusetts
1368,25,MA,Massachusetts
1370,25,MA,Massachusetts
1373,25,MA,Massachusetts
1375,25,MA,Massachusetts
1376,25,MA,Massachusetts
